,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,tiksi,71.6872,128.8694,-25.55,85,100,3.18,RU,1611159744
1,bluff,-46.6,168.3333,53.01,83,74,11.99,NZ,1611159744
2,hualmay,-11.0964,-77.6139,76.1,68,27,11.5,PE,1611159744
3,puerto ayora,-0.7393,-90.3518,82.4,69,20,19.57,EC,1611159744
4,rikitea,-23.1203,-134.9692,78.13,75,37,14.72,PF,1611159744
5,hilo,19.7297,-155.09,69.8,78,90,5.75,US,1611159735
6,dikson,73.5069,80.5464,-10.14,92,100,9.33,RU,1611159744
7,nome,64.5011,-165.4064,8.6,66,100,10.36,US,1611159745
8,ust-ilimsk,58.0006,102.6619,-25.13,85,100,2.44,RU,1611159745
9,qaanaaq,77.484,-69.3632,24.33,84,100,10.89,GL,1611159745
10,georgetown,5.4112,100.3354,81.0,88,20,1.14,MY,1611159508
11,busselton,-33.65,115.3333,66.0,86,0,1.99,AU,1611159745
12,port alfred,-33.5906,26.891,71.01,83,69,1.99,ZA,1611159745
13,lebrija,36.9208,-6.0753,60.8,100,75,10.36,ES,1611159745
14,moose factory,51.2585,-80.6094,-5.8,77,90,12.66,CA,1611159745
15,avarua,-21.2078,-159.775,78.8,89,100,8.05,CK,1611159745
16,torbay,47.6666,-52.7314,30.0,74,75,28.77,CA,1611159745
17,coquimbo,-29.9533,-71.3436,64.4,72,75,12.66,CL,1611159745
18,saskylakh,71.9167,114.0833,-33.47,82,100,4.47,RU,1611159745
19,ushuaia,-54.8,-68.3,57.2,51,40,18.41,AR,1611159683
20,lagoa,39.05,-27.9833,62.49,89,60,27.36,PT,1611159746
21,punta arenas,-53.15,-70.9167,57.2,44,0,6.91,CL,1611159746
22,castro,-24.7911,-50.0119,66.29,97,100,1.79,BR,1611159746
23,yellowknife,62.456,-114.3525,-2.99,77,20,10.36,CA,1611159464
24,kapaa,22.0752,-159.319,73.4,88,40,12.66,US,1611159747
25,pisco,-13.7,-76.2167,75.0,73,0,8.05,PE,1611159747
26,vryburg,-26.9566,24.7284,86.88,37,93,2.19,ZA,1611159747
27,saint-philippe,-21.3585,55.7679,82.4,74,90,4.61,RE,1611159747
28,ust-kuyga,70.0167,135.6,-33.18,77,97,0.98,RU,1611159748
29,vao,-22.6667,167.4833,75.49,80,93,17.29,NC,1611159748
30,norman wells,65.282,-126.8329,6.8,78,75,6.91,CA,1611159748
31,maldonado,-34.6667,-54.9167,80.6,57,20,17.27,UY,1611159709
32,chuy,-33.6971,-53.4616,80.4,46,0,9.22,UY,1611159748
33,parrita,9.5201,-84.3225,80.6,57,20,23.02,CR,1611159748
34,hobart,-42.8794,147.3294,50.0,87,9,6.91,AU,1611159749
35,kampene,-3.6,26.6667,74.03,83,100,0.49,CD,1611159749
36,cape town,-33.9258,18.4232,75.0,60,0,20.71,ZA,1611159579
37,atar,20.5169,-13.0499,84.94,11,100,14.09,MR,1611159749
38,amuntai,-2.4177,115.2494,74.93,96,85,2.57,ID,1611159749
39,skegness,53.1436,0.3363,51.01,93,90,21.85,GB,1611159749
40,salalah,17.0151,54.0924,78.8,36,0,4.61,OM,1611159749
41,berbera,10.4396,45.0143,76.44,61,39,8.25,SO,1611159749
42,olivet,47.8622,1.8991,55.99,58,75,24.16,FR,1611159750
43,port-gentil,-0.7193,8.7815,86.0,70,40,9.22,GA,1611159750
44,tura,25.5198,90.2201,59.22,87,1,3.49,IN,1611159750
45,esperance,-33.8667,121.9,62.6,82,40,6.91,AU,1611159750
46,albany,42.6001,-73.9662,33.01,66,94,3.0,US,1611159750
47,deputatskiy,69.3,139.9,-34.35,86,75,0.72,RU,1611159751
48,monrovia,6.3005,-10.7969,87.8,74,75,6.91,LR,1611159751
49,klaksvik,62.2266,-6.589,35.6,100,20,10.36,FO,1611159751
50,bowen,-20.0167,148.2333,78.8,78,75,14.97,AU,1611159751
51,durusu,41.3053,28.6767,42.8,61,75,14.97,TR,1611159751
